sourceId,displayName,domain,allsidesRating,adFontesBias,adFontesReliability,mbfcBias,mbfcFactual,finalBias,finalBiasScore,finalReliability,finalReliabilityScore,notes
arstechnica,Ars Technica,arstechnica.com,Center,0,High,Least Biased,High,Center,0,High,4,Deep tech
engadget,Engadget,engadget.com,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,Gadgets
techradar,TechRadar,techradar.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Consumer tech
gizmodo,Gizmodo,gizmodo.com,Left,-15,Mostly Factual,Left,Mostly Factual,Left,-2,Mostly Factual,3,Tech/science
mashable,Mashable,mashable.com,Left,-15,Mostly Factual,Left-Center,Mostly Factual,Center-Left,-1,Mostly Factual,3,Culture/tech
zdnet,ZDNet,zdnet.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Enterprise tech
cnet,CNET,cnet.com,Center,0,High,Least Biased,Mostly Factual,Center,0,High,4,Tech reviews
nature,Nature,nature.com,Not Rated,0,Very High,Least Biased,Very High,Center,0,Very High,5,Science journal
sciencemag,Science,science.org,Not Rated,0,Very High,Least Biased,Very High,Center,0,Very High,5,Science journal
scientific-american,Scientific American,scientificamerican.com,Lean Left,-10,High,Left-Center,High,Center-Left,-1,High,4,Science magazine
national-geographic,National Geographic,nationalgeographic.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Science/nature
phys-org,Phys.org,phys.org,Not Rated,0,Very High,Least Biased,Very High,Center,0,Very High,5,Science research news
new-scientist,New Scientist,newscientist.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Science news
space-com,Space.com,space.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Space/astronomy
science-news,Science News,sciencenews.org,Not Rated,0,Very High,Least Biased,Very High,Center,0,Very High,5,Science reporting
popular-mechanics,Popular Mechanics,popularmechanics.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Science/engineering
mit-tech-review,MIT Technology Review,technologyreview.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Tech analysis
the-hill,The Hill,thehill.com,Center,0,High,Least Biased,High,Center,0,High,4,Political news
roll-call,Roll Call,rollcall.com,Center,0,High,Least Biased,High,Center,0,High,4,Congressional news
defense-one,Defense One,defenseone.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Defense news
stars-and-stripes,Stars and Stripes,stripes.com,Center,0,High,Least Biased,High,Center,0,High,4,Military news
foreign-policy,Foreign Policy,foreignpolicy.com,Center,0,High,Least Biased,High,Center,0,High,4,International news
foreign-affairs,Foreign Affairs,foreignaffairs.com,Center,0,High,Least Biased,High,Center,0,High,4,Council on Foreign Relations
vox,Vox,vox.com,Left,-18,High,Left,High,Left,-2,High,4,Explanatory news
slate,Slate,slate.com,Left,-20,High,Left,High,Left,-2,High,4,Opinion/news
the-american-conservative,The American Conservative,theamericanconservative.com,Right,15,Mostly Factual,Right,Mostly Factual,Right,2,Mostly Factual,3,Conservative opinion
national-review,National Review,nationalreview.com,Right,18,Mostly Factual,Right,Mostly Factual,Right,2,Mostly Factual,3,Conservative monthly
reason,Reason Magazine,reason.com,Lean Right,12,High,Right-Center,High,Center-Right,1,High,4,Libertarian news
the-bulwark,The Bulwark,thebulwark.com,Center,-5,High,Left-Center,High,Center-Left,-1,High,4,Anti-Trump conservative
dispatch,The Dispatch,thedispatch.com,Center,5,High,Right-Center,High,Center-Right,1,High,4,Fact-based conservative
marketwatch,MarketWatch,marketwatch.com,Center,5,High,Right-Center,High,Center-Right,1,High,4,Financial news
barrons,Barron's,barrons.com,Center,5,High,Right-Center,High,Center-Right,1,High,4,Investment news
kiplinger,Kiplinger,kiplinger.com,Center,0,High,Least Biased,High,Center,0,High,4,Personal finance
investopedia,Investopedia,investopedia.com,Center,0,Very High,Least Biased,Very High,Center,0,Very High,5,Finance education
espn,ESPN,espn.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Sports news
the-athletic,The Athletic,theathletic.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,In-depth sports
sports-illustrated,Sports Illustrated,si.com,Not Rated,0,High,Least Biased,Mostly Factual,Center,0,High,4,Sports magazine
variety,Variety,variety.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Entertainment industry
hollywood-reporter,The Hollywood Reporter,hollywoodreporter.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Entertainment news
deadline,Deadline Hollywood,deadline.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Entertainment news
rolling-stone,Rolling Stone,rollingstone.com,Left,-15,Mostly Factual,Left-Center,Mostly Factual,Center-Left,-1,Mostly Factual,3,Music/culture
billboard,Billboard,billboard.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Music industry
pitchfork,Pitchfork,pitchfork.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Music reviews
us-news-world-report,U.S. News & World Report,usnews.com,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,Rankings/news
denver-post,Denver Post,denverpost.com,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,Regional newspaper
chicago-tribune,Chicago Tribune,chicagotribune.com,Center,5,High,Right-Center,High,Center-Right,1,High,4,Regional newspaper
la-times,LA Times,latimes.com,Left,-10,High,Left-Center,High,Center-Left,-1,High,4,Regional newspaper
seattle-times,Seattle Times,seattletimes.com,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,Regional newspaper
boston-globe,Boston Globe,bostonglobe.com,Left,-12,High,Left-Center,High,Center-Left,-1,High,4,Regional newspaper
sf-chronicle,SF Chronicle,sfchronicle.com,Left,-12,High,Left-Center,High,Center-Left,-1,High,4,Regional newspaper
dallas-news,Dallas Morning News,dallasnews.com,Lean Right,5,High,Right-Center,High,Center-Right,1,High,4,Regional newspaper
the-star-ledger,The Star-Ledger,nj.com,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,Regional newspaper
axios-local,Axios Local,axios.com/local,Center,0,High,Least Biased,High,Center,0,High,4,Local newsletters
propublica,ProPublica,propublica.org,Lean Left,-8,Very High,Left-Center,Very High,Center-Left,-1,Very High,5,Investigative news
the-intercept,The Intercept,theintercept.com,Left,-18,High,Left,High,Left,-2,High,4,Investigative news
center-for-public-integrity,Center for Public Integrity,publicintegrity.org,Lean Left,-5,Very High,Left-Center,Very High,Center-Left,-1,Very High,5,Nonprofit investigative
marshall-project,The Marshall Project,themarshallproject.org,Lean Left,-5,Very High,Left-Center,Very High,Center-Left,-1,Very High,5,Criminal justice news
texas-tribune,Texas Tribune,texastribune.org,Lean Left,-5,Very High,Left-Center,Very High,Center-Left,-1,Very High,5,State-level news
politico-eu,Politico Europe,politico.eu,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,EU political news
euronews,Euronews,euronews.com,Center,0,High,Least Biased,High,Center,0,High,4,Pan-European news
irish-times,The Irish Times,irishtimes.com,Center,0,High,Least Biased,High,Center,0,High,4,Irish newspaper
south-china-morning-post,South China Morning Post,scmp.com,Center,0,Mixed,Least Biased,Mostly Factual,Center,0,Mostly Factual,3,Asia-Pacific news
times-of-india,The Times of India,timesofindia.indiatimes.com,Center,0,Mixed,Least Biased,Mostly Factual,Center,0,Mostly Factual,3,Indian news
sydney-morning-herald,Sydney Morning Herald,smh.com.au,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,Australian news
the-age,The Age,theage.com.au,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,Australian news
the-globe-and-mail,The Globe and Mail,theglobeandmail.com,Center,0,High,Least Biased,High,Center,0,High,4,Canadian newspaper
toronto-star,Toronto Star,thestar.com,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,Canadian newspaper
cbc-news,CBC News,cbc.ca,Lean Left,-10,High,Left-Center,High,Center-Left,-1,High,4,Canadian public broadcaster
japan-times,The Japan Times,japantimes.co.jp,Center,0,High,Least Biased,High,Center,0,High,4,Japan's English newspaper
haaretz,Haaretz,haaretz.com,Left,-15,High,Left,High,Left,-2,High,4,Israeli newspaper
times-of-israel,The Times of Israel,timesofisrael.com,Center,0,High,Least Biased,High,Center,0,High,4,Israeli news
jerusalem-post,The Jerusalem Post,jpost.com,Lean Right,10,Mostly Factual,Right-Center,Mostly Factual,Center-Right,1,Mostly Factual,3,Israeli newspaper
daily-star,Daily Star,dailystar.com.lb,Center,0,Mostly Factual,Least Biased,Mostly Factual,Center,0,Mostly Factual,3,Lebanese news
al-arabiya,Al Arabiya,alarabiya.net,Lean Right,10,Mostly Factual,Right-Center,Mostly Factual,Center-Right,1,Mostly Factual,3,Saudi-owned news
al-monitor,Al-Monitor,al-monitor.com,Center,0,High,Least Biased,High,Center,0,High,4,Middle East analysis
sciencedaily,ScienceDaily,sciencedaily.com,Not Rated,0,Very High,Least Biased,Very High,Center,0,Very High,5,Science releases
eurekalert,EurekAlert!,eurekalert.org,Not Rated,0,Very High,Least Biased,Very High,Center,0,Very High,5,Science news service
livescience,Live Science,livescience.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,General science news
popsci,Popular Science,popsci.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Science/tech magazine
universetoday,Universe Today,universetoday.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Space/astronomy news
next-big-future,Next Big Future,nextbigfuture.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Tech/science future
earth-sky,EarthSky,earthsky.org,Not Rated,0,High,Least Biased,High,Center,0,High,4,Science/space
the-verge-science,The Verge (Science),theverge.com/science,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,Tech-angled science
gizmodo-science,Gizmodo (Science),gizmodo.com/science,Left,-15,Mostly Factual,Left,Mostly Factual,Left,-2,Mostly Factual,3,Tech-angled science
arstechnica-science,Ars Technica (Science),arstechnica.com/science,Center,0,High,Least Biased,High,Center,0,High,4,Pure science coverage
businessinsider-tech,Business Insider (Tech),businessinsider.com/tech,Lean Left,-5,Mixed,Left-Center,Mixed,Center-Left,-1,Mixed,2,Tech news/opinion
cnbc-tech,CNBC (Tech),cnbc.com/technology,Lean Left,-5,Mostly Factual,Left-Center,Mostly Factual,Center-Left,-1,High,4,Tech business news
cnn,CNN,cnn.com,Left,-19,High,Left-Center,Mixed,Center-Left,-1,High,4,Cable news
cnn-tech,CNN (Tech),cnn.com/business/tech,Left,-19,High,Left-Center,Mixed,Center-Left,-1,High,4,Tech news
wsj-tech,WSJ (Tech),wsj.com/news/technology,Center,5,High,Right-Center,High,Center-Right,1,High,4,Business tech news
bloomberg-tech,Bloomberg (Tech),bloomberg.com/technology,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,Global tech business
forbes-tech,Forbes (Tech),forbes.com/technology,Center-Right,5,Mixed,Right-Center,Mostly Factual,Center-Right,1,Mixed,2,Tech business
reuters-tech,Reuters (Tech),reuters.com/technology,Center,0,Very High,Least Biased,Very High,Center,0,Very High,5,Tech wire news
ap-tech,AP (Tech),apnews.com/hub/technology,Left,-5,Very High,Left-Center,Very High,Center-Left,-1,Very High,5,Tech wire news
bbc-tech,BBC (Tech),bbc.com/news/technology,Lean Left,-10,High,Least Biased,High,Center,0,High,4,Global tech news
theguardian-tech,The Guardian (Tech),theguardian.com/technology,Left,-15,High,Left-Center,High,Left,-2,High,4,UK tech news
independent-tech,Independent (Tech),independent.co.uk/tech,Left,-15,Mostly Factual,Left-Center,Mostly Factual,Center-Left,-1,Mostly Factual,3,UK tech news
standard-tech,Evening Standard (Tech),standard.co.uk/tech,Center,0,Mostly Factual,Least Biased,Mostly Factual,Center,0,Mostly Factual,3,UK tech news
dailymail-tech,Daily Mail (Tech),dailymail.co.uk/sciencetech,Lean Right,10,Mixed,Right-Center,Mixed,Center-Right,1,Mixed,2,UK tech tabloid
thetimes-tech,The Times (Tech),thetimes.co.uk/topic/technology,Center-Right,5,High,Right-Center,High,Center-Right,1,High,4,UK quality news
telegraph-tech,The Telegraph (Tech),telegraph.co.uk/technology,Right,10,High,Right-Center,High,Center-Right,1,High,4,UK quality news
smh-tech,SMH (Tech),smh.com.au/technology,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,Australian tech news
theage-tech,The Age (Tech),theage.com.au/technology,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,Australian tech news
globeandmail-tech,The Globe and Mail (Tech),theglobeandmail.com/business/technology,Center,0,High,Least Biased,High,Center,0,High,4,Canadian tech business
cbc-tech,CBC (Tech),cbc.ca/news/technology,Lean Left,-10,High,Left-Center,High,Center-Left,-1,High,4,Canadian tech news
timesofindia-tech,Times of India (Tech),timesofindia.indiatimes.com/gadgets-news,Center,0,Mixed,Least Biased,Mostly Factual,Center,0,Mostly Factual,3,Indian tech news
straitstimes-tech,Straits Times (Tech),straitstimes.com/tech,Center,0,Mostly Factual,Least Biased,Mostly Factual,Center,0,Mostly Factual,3,Singapore tech news
scmp-tech,SCMP (Tech),scmp.com/tech,Center,0,Mixed,Least Biased,Mostly Factual,Center,0,Mostly Factual,3,China tech news
nikkei-tech,Nikkei (Tech),asia.nikkei.com/Business/Technology,Center,0,High,Least Biased,High,Center,0,High,4,Asian tech business
japantimes-tech,Japan Times (Tech),japantimes.co.jp/news/business/tech,Center,0,High,Least Biased,High,Center,0,High,4,Japan tech business
haaretz-tech,Haaretz (Tech),haaretz.com/science-and-health,Left,-15,High,Left,High,Left,-2,High,4,Israeli science/tech
the-daily-caller,The Daily Caller,dailycaller.com,Right,2,Low Reliability,Right,Mixed,Right,2,Low Reliability,1,Auto-downgraded
newsbreak,Newsbreak,newsbreak.com,Center,0,Mixed,Least Biased,Mixed,Center,0,Mixed,2,Aggregator
fox-news,Fox News,foxnews.com,Right,19,Mixed,Right,Mixed,Right,2,Mixed,2,Conservative cable news
msnow,MS NOW,ms.now,Left,-20,Mixed,Left,Mixed,Left,-2,Mixed,2,Progressive cable news
huffpost,HuffPost,huffpost.com,Left,-20,Mixed,Left,Mixed,Left,-2,Mixed,2,Liberal news
breitbart,Breitbart,breitbart.com,Right,30,Low,Right,Mixed,Right,2,Low,1,Conservative opinion
newsmax,Newsmax,newsmax.com,Right,25,Low,Right,Mixed,Right,2,Low,1,Conservative news
new-york-post,New York Post,nypost.com,Lean Right,8,Mixed,Right-Center,Mostly Factual,Center-Right,1,Mixed,2,Tabloid
daily-mail,Daily Mail,dailymail.co.uk,Lean Right,10,Mixed,Right-Center,Mixed,Center-Right,1,Mixed,2,UK tabloid
salon,Salon,salon.com,Left,-20,Mixed,Left,Mixed,Left,-2,Mixed,2,Liberal news
daily-beast,The Daily Beast,thedailybeast.com,Left,-18,High,Left,Mostly Factual,Left,-2,Mostly Factual,3,Liberal news
washington-times,Washington Times,washingtontimes.com,Center,5,Mixed,Right,Mixed,Center-Right,1,Mixed,2,Conservative news
fivethirtyeight,FiveThirtyEight,fivethirtyeight.com,Center,0,High,Least Biased,High,Center,0,High,4,Data journalism
vice-news,Vice News,vice.com,Left,-15,Mostly Factual,Left,Mostly Factual,Left,-2,Mostly Factual,3,Youth-oriented news
buzzfeed-news,BuzzFeed News,buzzfeednews.com,Lean Left,-10,Mostly Factual,Left-Center,Mostly Factual,Center-Left,-1,Mostly Factual,3,Digital news archive
variety,Variety,variety.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Entertainment
hollywood-reporter,The Hollywood Reporter,hollywoodreporter.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Entertainment
deadline,Deadline,deadline.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Entertainment
variety,Variety,variety.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Entertainment
hollywood-reporter,The Hollywood Reporter,hollywoodreporter.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Entertainment
deadline,Deadline Hollywood,deadline.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Entertainment
rolling-stone,Rolling Stone,rollingstone.com,Left,-15,Mostly Factual,Left-Center,Mostly Factual,Center-Left,-1,Mostly Factual,3,Culture
billboard,Billboard,billboard.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Music
pitchfork,Pitchfork,pitchfork.com,Not Rated,0,High,Least Biased,High,Center,0,High,4,Music
